file,workload,predictor,ROB_config,IQ_config,sim_seconds,committed_insts,ipc,branch_predicted,branch_mispredicted,mispred_rate,branch_accuracy,branch_recovery_cycles_total,avg_recovery_penalty_cycles,squashedInstsIssued,squashedInstsExamined,squashedOperandsExamined,avg_squashed_insts_per_mispred,instsAdded,numIssuedDist_mean,L1D_accesses,L1D_misses,L1I_accesses,L1I_misses,requestToMemory_m_stall_time,requestToMemory_m_avg_stall_time,L1_mandatoryQueue_m_stall_time,L1_mandatoryQueue_m_avg_stall_time,mem_miss_latency_mean,fetch_generic,ifetch_miss_latency_mean,avg_stall_time_field,stall_time_generic,m_stall_count_any,squash_generic,IQ_full_count
results/stats_quicksort_large_tournament_ROB256_numIQEntries128.txt,quicksort_large,tournament,256,128,0.021954,100000002,1.516775,43200412,256102,0.005928230499283201,0.9940717695007169,,,3233,1096130,1112756,4.2800524790903625,179839859,2.728641,2,3,18,1,,,,,103.284276,221280986.516024,162.526895,27314,2235.205616,3,57425201,1076
results/stats_quicksort_small_bimode_ROB128_numIQEntries64.txt,quicksort_small,bimode,128,64,0.008357,16896977,0.673273,6783499,216773,0.03195592716973939,0.9680440728302606,,,70164,4901598,5525311,22.61166289159628,39873335,1.665652,2,3,145824,1,,,,,116.64545,71281921.861083,178.135604,371640,93872.77967,3,33648919,549016
results/stats_quicksort_small_bimode_ROB128_numIQEntries128.txt,quicksort_small,bimode,128,128,0.008129,16896977,0.692166,6782248,216731,0.03195562887113535,0.9680443711288647,,,72044,4925312,5526856,22.725461516811162,39897039,1.711661,2,3,136844,1,,,,,117.208024,70057218.227899,175.059846,380631,94800.847112,3,33086740,0
results/stats_quicksort_small_bimode_ROB256_numIQEntries64.txt,quicksort_small,bimode,256,64,0.008231,16896977,0.683601,6938791,215902,0.03111521877514397,0.968884781224856,,,119879,5576988,6857360,25.831108558512657,40548715,1.710371,2,3,161223,1,,,,,116.717597,70730010.615818,179.176357,375968,86265.834267,3,35108722,1309366
results/stats_quicksort_small_bimode_ROB256_numIQEntries128.txt,quicksort_small,bimode,256,128,0.007627,16896977,0.73776,7041292,241908,0.03435562677985801,0.965644373220142,,,144677,6511081,8950168,26.915525737057063,41482808,1.891388,2,3,167170,1,,,,,118.140691,67673363.877737,174.952655,381629,93297.850661,3,35763979,372816
results/stats_quicksort_small_gshare_ROB128_numIQEntries64.txt,quicksort_small,gshare,128,64,0.008383,16896977,0.671164,6825593,238432,0.034932056452823955,0.9650679435471761,,,70900,5064496,5717976,21.240840155683802,40036223,1.66473,2,3,145350,1,,,,,116.674292,71526409.936979,176.292916,375968,89120.813755,3,34208835,547882
results/stats_quicksort_small_gshare_ROB128_numIQEntries128.txt,quicksort_small,gshare,128,128,0.008158,16896977,0.689711,6824774,238439,0.03493727411339921,0.9650627258866008,,,73009,5086225,5715705,21.33134680148801,40057962,1.710803,2,3,136594,1,,,,,117.22343,70285016.655635,178.579517,375968,87669.813733,3,33633404,0
results/stats_quicksort_small_gshare_ROB256_numIQEntries64.txt,quicksort_small,gshare,256,64,0.008266,16896977,0.680672,6981735,237533,0.03402205898677048,0.9659779410132295,,,122306,5734886,7056825,24.143533740574995,40706613,1.706457,2,3,162067,1,,,,,116.87695,71048038.59886399,175.618837,368643,92788.781407,3,35689934,1309273
results/stats_quicksort_small_gshare_ROB256_numIQEntries128.txt,quicksort_small,gshare,256,128,0.007647,16896977,0.735758,7078631,263792,0.03726596286767879,0.9627340371323212,,,145935,6644809,9085323,25.189577394310668,41616536,1.890367,2,3,167126,1,,,,,118.012707,67867212.326455,176.091932,391286,90580.925005,3,36232804,371069
results/stats_quicksort_small_local_ROB128_numIQEntries64.txt,quicksort_small,local,128,64,0.008512,16896977,0.661022,7151877,320950,0.04487633106665565,0.9551236689333443,,,251616,6212022,8230385,19.35510827231656,41183749,1.670199,2,3,162055,1,,,,,117.547619,72982537.09274802,173.188243,304706,90999.158049,3,38218057,485250
results/stats_quicksort_small_local_ROB128_numIQEntries128.txt,quicksort_small,local,128,128,0.008302,16896977,0.67776,7158013,320837,0.044822075623500546,0.9551779243764995,,,261385,6304490,8428302,19.650133868599944,41276217,1.717476,2,3,155943,1,,,,,118.454906,71716203.778909,173.604753,301709,92095.136974,3,37823147,0
results/stats_quicksort_small_local_ROB256_numIQEntries64.txt,quicksort_small,local,256,64,0.008454,16896977,0.665594,7377330,327747,0.04442623550796833,0.9555737644920317,,,372730,6988256,10097883,21.322105160382858,41959983,1.699258,2,3,168106,1,,,,,117.841001,72790555.644082,173.775,306371,90944.15707,3,40304040,1152263
results/stats_quicksort_small_local_ROB256_numIQEntries128.txt,quicksort_small,local,256,128,0.00794,16896977,0.70867,7741651,331721,0.04284887035078176,0.9571511296492182,,,435347,8848198,15732031,26.6736142722348,43819925,1.855959,2,3,178101,1,,,,,119.017863,70300848.443197,177.161371,286391,93119.002783,3,44186417,352556
results/stats_quicksort_small_tournament_ROB128_numIQEntries64.txt,quicksort_small,tournament,128,64,0.008349,16896977,0.673975,6733962,203730,0.03025410597802601,0.969745894021974,,,64249,4699430,5109906,23.066951357188437,39671157,1.66393,2,3,149773,1,,,,,116.489479,70949293.713123,179.621302,372305,84872.824818,3,32980271,561486
results/stats_quicksort_small_tournament_ROB128_numIQEntries128.txt,quicksort_small,tournament,128,128,0.008108,16896977,0.693962,6732761,203772,0.030265740904808592,0.9697342590951914,,,65571,4717063,5137202,23.14872995308482,39688800,1.71205,2,3,137956,1,,,,,117.100363,69643860.055354,182.915076,380964,89206.890423,3,32372438,0
results/stats_quicksort_small_tournament_ROB256_numIQEntries64.txt,quicksort_small,tournament,256,64,0.00822,16896977,0.684551,6879288,201928,0.02935303769808736,0.9706469623019126,,,103976,5338486,6294626,26.437571807773068,40310213,1.707944,2,3,165576,1,,,,,116.451021,70421386.126104,176.075262,369974,90070.811226,3,34333695,1321404
results/stats_quicksort_small_tournament_ROB256_numIQEntries128.txt,quicksort_small,tournament,256,128,0.007578,16896977,0.742525,6977273,220934,0.03166480657987727,0.9683351934201228,,,99845,6168618,8007666,27.920636932296524,41140345,1.897512,2,3,166651,1,,,,,117.628774,67063689.21661,176.126549,383627,93340.907856,3,34619764,390895
